czech,english,block_id,
syn,son,,
dcera,daughter,,
rodiče,parents,,
strýc,uncle,,
teta,aunt,,
bratranec,cousin,,
sestřenice,cousin,,
babička,grandmother,,
dědeček,grandfather,,
máma,mum,,
táta,dad,,
babi,grandma,,
děda,grandpa,,
červená,red,,
modrá,blue,,
zelená,green,,
žlutá,yellow,,
černá,black,,
bílá,white,,
hnědá,brown,,
růžová,pink,,
oranžová,orange,,
fialová,purple,,
šedá,grey,,
zlatá,gold,,
stříbrná,silver,,
jíst,eat,,
pít,drink,,
jít,go,,
přijít,come,,
hrát,play,,
číst,read,,
psát,write,,
běžet,run,,
chodit,walk,,
mluvit,talk,,
spát,sleep,,
pracovat,work,,
sedět,sit,,
stát,stand,,
otevřít,open,,
zavřít,close,,
koupit,buy,,
prodat,sell,,
vařit,cook,,
týden,week,,
měsíc (kalendářní),month,,
rok,year,,
