czech,english,block_id,note_id,
ryba,fish,,,
vejce,egg,,,
sýr,cheese,,,
polévka,soup,,,
čaj,tea,,,
káva,coffee,,,
džus,juice,,,
cukr,sugar,,,
sůl,salt,,,
slunce,sun,,,
déšť,rain,,,
mrak,cloud,,,
sníh,snow,,,
vítr,wind,,,
bouře,storm,,,
teplý,warm,,,
jaro,spring,,,
léto,summer,,,
podzim,autumn,,,
zima,winter,,,
domov,home,,,
park,park,,,
nemocnice,hospital,,,
obchod,shop,,,
trh,market,,,
kancelář,office,,,
banka,bank,,,
restaurace,restaurant,,,
nádraží,station,,,
letiště,airport,,,
ulice,street,,,
město,city,,,
vesnice,village,,,
země,country,,,
košile,shirt,,,
tričko,t-shirt,,,
kalhoty,trousers,,,
sukně,skirt,,,
boty,shoes,,,
ponožky,socks,,,
