czech,english,block_id,topic_id
ruka,hand,,
paže,arm,,
noha,leg,,
chodidlo,foot,,
prst,finger,,
prst (na noze),toe,,
břicho,stomach,,
záda,back,,
chleba,bread,,
rýže,rice,,
voda,water,,
mléko,milk,,
jablko,apple,,
banán,banana,,
pomeranč,orange,,
mango,mango,,
maso,meat,,
ryba,fish,,
vejce,egg,,
sýr,cheese,,
polévka,soup,,
čaj,tea,,
káva,coffee,,
džus,juice,,
cukr,sugar,,
sůl,salt,,
slunce,sun,,
déšť,rain,,
mrak,cloud,,
sníh,snow,,
vítr,wind,,
bouře,storm,,
teplý,warm,,
jaro,spring,,
léto,summer,,
podzim,autumn,,
zima,winter,,
domov,home,,
park,park,,
nemocnice,hospital,,
obchod,shop,,
trh,market,,
kancelář,office,,
banka,bank,,
restaurace,restaurant,,
nádraží,station,,
letiště,airport,,
ulice,street,,
