czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
servírka,waitress,wˈeɪtɹəs,waitress.opus,21000,,,,,True,21
hlasování,vote,vˈoʊt,vote.opus,21001,,,,,True,21
volejbal,volleyball,vˈɑːlɪbˌɔːl,volleyball.opus,21002,,,,,True,21
návštívit,visit,vˈɪzɪt,visit.opus,21003,,,,,True,21
návštěva,visit,vˈɪzɪt,visit.opus,21004,,,,,True,21
video,video,vˈɪdɪoʊ,video.opus,21005,,,,,True,21
zeleniny,vegetable,vˈɛdʒɪɾəbəl,vegetable.opus,21006,,,,,True,21
váza,vase,vˈeɪs,vase.opus,21007,,,,,True,21
dovolená,vacation,veɪkˈeɪʃən,vacation.opus,21008,,,,,True,21
nás,us,ˈʌs,us.opus,21009,,,,,True,21
vyřešit,solve,sˈɑːlv,solve.opus,21010,,,,,True,21
pohovka,sofa,sˈoʊfə,sofa.opus,21011,,,,,True,21
sociální,social,sˈoʊʃəl,social.opus,21012,,,,,True,21
piknik,picnic,pˈɪknɪk,picnic.opus,21013,,,,,True,21
vybrat,pick,pˈɪk,pick.opus,21014,,,,,True,21
klavír,piano,piˈænoʊ,piano.opus,21015,,,,,True,21
fotografie,photo,fˈoʊɾoʊ,photo.opus,21016,,,,,True,21
mazlíček,pet,pˈɛt,pet.opus,21017,,,,,True,21
období,period,pˈiəɹɪəd,period.opus,21018,,,,,True,21
prase,pig,pˈɪɡ,pig.opus,21019,,,,,True,21
platba,pay,pˈeɪ,pay.opus,21020,,,,,True,21
večírek,party,pˈɑːɹɾi,party.opus,21021,,,,,True,21
partner,partner,pˈɑːɹtnɚ,partner.opus,21022,,,,,True,21
pardon,pardon,pˈɑːɹdən,pardon.opus,21023,,,,,True,21
Kde já bydlím?,Where do I live?,wˌɛɹ dˈuː aɪ lˈɪv,where_do_i_live.opus,21024,38,,,30,False,21
Co ty čteš?,What do you read?,wˌʌt dˈuː juː ɹˈiːd,what_do_you_read.opus,21025,38,,,30,False,21
Kdy on pracuje?,When does he work?,wˌɛn dˈʌz hiː wˈɜːk,when_does_he_work.opus,21026,38,,,30,False,21
Proč ona vaří?,Why does she cook?,wˌaɪ dˈʌz ʃiː kˈʊk,why_does_she_cook.opus,21027,38,,,30,False,21
Jak to funguje?,How does it work?,hˌaʊ dˈʌz ɪt wˈɜːk,how_does_it_work.opus,21028,38,,,30,False,21
Kam my cestujeme?,Where do we travel?,wˌɛɹ dˈuː wiː tɹˈævəl,where_do_we_travel.opus,21029,38,,,30,False,21
Co ty potřebuješ?,What do you need?,wˌʌt dˈuː juː nˈiːd,what_do_you_need.opus,21030,38,,,30,False,21
Kdy oni hrají?,When do they play?,wˌɛn dˈuː ðeɪ plˈeɪ,when_do_they_play.opus,21031,38,,,30,False,21
Kdo kupuje mléko?,Who buys the milk?,hˌuː bˈaɪz ðə mˈɪlk,who_buys_the_milk.opus,21032,55,,,30,False,21
Kdo vaří večeři?,Who cooks dinner?,hˌuː kˈʊks dˈɪnɚ,who_cooks_dinner.opus,21033,55,,,30,False,21
Kdo bydlí nahoře?,Who lives upstairs?,hˌuː lˈɪvz ʌpstˈɛɹz,who_lives_upstairs.opus,21034,55,,,30,False,21
Kdo volá v noci?,Who calls at night?,hˌuː kˈɔːlz æt nˈaɪt,who_calls_at_night.opus,21035,55,,,30,False,21
Kdo platí účet?,Who pays the bill?,hˌuː pˈeɪz ðə bˈɪl,who_pays_the_bill.opus,21036,55,,,30,False,21
Kdo nosí klobouk?,Who wears a hat?,hˌuː wˈɛɹz ɐ hˈæt,who_wears_a_hat.opus,21037,55,,,30,False,21
Co svítí v noci?,What shines at night?,wˌʌt ʃˈaɪnz æt nˈaɪt,what_shines_at_night.opus,21038,55,,,30,False,21
Co dělá ten zvuk?,What makes that sound?,wˌʌt mˌeɪks ðæt sˈaʊnd,what_makes_that_sound.opus,21039,55,,,30,False,21
