czech,english,block_id,grammar_chunk_id
jaký,what,,
byli,were,,
studna,well,,
vítejte,welcome,,
víkend,weekend,,
toaleta,toilet,,
zoo,zoo,,
bomba,bomb,,
jogurt,yoghurt,,
ještě,yet,,
žlutý,yellow,,
yard,yard,,
pokročit,advance,,
spisovatel,writer,,
by dělal,would,,
starost,worry,,
pracovník,worker,,
úžasné,wonderful,,
deštník,umbrella,,
škaredý,ugly,,
televize,TV,,
zatočit,turn,,
obrat,turn,,
krocan,turkey,,
roura,tube,,
pokus,try,,
věrný,true,,
veřejný,public,,
obdržet,receive,,
nákladní auto,truck,,
pak,then,,
také,too,,
způsob,way,,
napříč,across,,
umění,art,,
přinést,bring,,
nést,carry,,
potvrdit,confirm,,
zemřít,die,,
východ,east,,
