id,name,note,grammar_chunk_id,updated_at,deleted_at,lesson_id
35,PS - zápor,,27,2026-09-04 12:31:49.238161+00,,19
36,PS - zjišťovací otázky,,28,2026-09-04 12:34:00.596538+00,,20
37,PS - krátké odpovědi,,29,2026-09-04 12:34:38.445535+00,,20
38,PS - tázací otázky,,30,2026-09-04 12:38:29.020374+00,,21
39,Stupňování - druhý stupeň,,31,2026-09-04 12:50:41.194862+00,,22
40,Stupňování - třetí stupeň,,32,2026-09-04 12:50:47.373129+00,,22
41,Rozkazovací způsob,,33,2026-09-04 12:58:30.384606+00,,23
42,Modální slovesa 1,,18,2026-09-04 13:09:20.771333+00,,24
43,Modální slovesa 2,,18,2026-09-04 13:09:35.137428+00,,24
44,Modální slovesa 3,,18,2026-09-04 13:09:48.180973+00,,24
