id,name,note,grammar_chunk_id,updated_at,deleted_at,lesson_id
1,Dny v týdnu,,,2026-09-01 12:54:00.065875+00,,1
2,Čísla 0 až 6,,,2026-09-01 14:14:30.579188+00,,1
3,Osobní zájmena,,,2026-09-01 12:55:15.699977+00,,7
4,Měsíce 1/2,,,2026-09-01 12:54:55.375923+00,,7
5,Měsíce 2/2,,,2026-09-01 12:55:07.427021+00,,7
6,Čísla 7 až 12,,,2026-09-01 14:14:54.683312+00,,1
7,Být - základní tvary,,1,2026-09-02 05:12:06.737306+00,,9
8,Být - zkrácené tvary,,2,2026-09-02 05:12:06.737306+00,,9
9,Být - záporné tvary,,3,2026-09-02 05:12:06.737306+00,,10
10,Být - zkrácený zápor,,4,2026-09-02 05:12:06.737306+00,,10
11,Být - zjišťovací otázky,,5,2026-09-02 05:12:06.737306+00,,11
12,Krátké odpovědi,,6,2026-09-02 05:12:06.737306+00,,11
13,Být - tázací otázky,,7,2026-09-02 05:12:06.737306+00,,12
14,Množné číslo,,8,2026-09-02 05:12:06.737306+00,,13
15,Počítatelnost,,8,2026-09-02 05:12:06.737306+00,,13
16,Počítatelnost - příklady,,8,2026-09-02 05:12:06.737306+00,,13
17,Přivlastňovací zájmena,,9,2026-09-02 05:12:06.737306+00,,14
18,Přivlastňovací apostrof 's,,10,2026-09-02 05:12:06.737306+00,,14
19,Členy,,11,2026-09-02 05:12:06.737306+00,,15
20,Čísla 13 - 19,,12,2026-09-02 05:12:06.737306+00,,16
21,Desítky,,13,2026-09-02 05:12:06.737306+00,,16
22,Složená čísla,,14,2026-09-02 05:12:06.737306+00,,16
23,Řadová čísla,,15,2026-09-02 05:12:06.737306+00,,16
24,Zlomky,,16,2026-09-02 05:12:06.737306+00,,16
25,Desetinná čísla,,17,2026-09-02 05:12:06.737306+00,,16
26,Denní časy,,18,2026-09-02 05:12:06.737306+00,,17
27,Datumy,,19,2026-09-02 05:12:06.737306+00,,17
28,Předložká času - in,,20,2026-09-02 05:12:06.737306+00,,18
29,Předložky času - on,,21,2026-09-02 05:12:06.737306+00,,18
30,Předložky času - at,,22,2026-09-02 05:12:06.737306+00,,18
31,Předložky místa - in,,23,2026-09-02 05:12:06.737306+00,,19
32,Předložky místa - on,,24,2026-09-02 05:12:06.737306+00,,19
33,Předložky místa - at,,25,2026-09-02 05:12:06.737306+00,,19
34,Přítomný čas prostý,,26,2026-09-02 05:12:06.737306+00,,20
