id,name,note,level_id,sort_order,updated_at,deleted_at
1,Základní slovní zásoba - 1,,1,1,2026-09-03 05:42:15.776386+00,
2,Základní slovní zásoba - 2,,1,2,2026-09-03 05:42:29.66316+00,
3,Základní slovní zásoba - 3,,1,3,2026-09-03 06:26:08.280339+00,
4,Základní slovní zásoba - 4,,1,4,2026-09-03 06:26:21.188083+00,
5,Základní slovní zásoba - 5,,1,5,2026-09-03 06:26:35.308884+00,
6,Základní slovní zásoba - 6,,1,6,2026-09-03 06:26:47.736707+00,
7,"Být ",,1,7,2026-09-03 08:42:51.533041+00,
8,Být - zkrácené tvary,,1,8,2026-09-03 08:43:29.494282+00,
9,Být - zjišťovací otázky,,1,9,2026-09-03 12:51:15.182492+00,
10,Být - tázací otázky,,1,10,2026-09-03 12:51:30.429271+00,
11,Množné číslo,,1,11,2026-09-03 13:00:15.684593+00,
12,Přivlastňování,,1,12,2026-09-03 13:00:31.285595+00,
13,Členy,,1,13,2026-09-03 13:07:44.548603+00,
14,Čísla,,1,14,2026-09-03 13:08:06.448386+00,
15,Časy a datumy,,1,15,2026-09-03 13:09:25.648932+00,
16,"Předložky času - in, on, at",,1,16,2026-09-03 13:09:51.187495+00,
17,"Předložky místa - in, on, at",,2,17,2026-09-03 13:10:06.994276+00,
18,PS - Přítomný čas prostý,,2,18,2026-09-04 06:21:32.896757+00,
19,PS - zápor,,2,19,2026-09-04 10:25:36.883674+00,
20,PS - zjišťovací otázky,,2,20,2026-09-04 10:26:45.421898+00,
21,PS - tázací otázky,,2,21,2026-09-04 10:27:10.403746+00,
22,Stupňování,,2,22,2026-09-04 10:28:11.740186+00,
23,Rozkazovací způsob,,2,23,2026-09-04 10:28:28.870675+00,
24,Modální slovesa,,2,24,2026-09-04 10:28:57.421404+00,
25,Návrhy,,2,25,2026-09-04 10:29:14.345393+00,
26,PC - Přítomný čas průběhový,,2,26,2026-09-04 10:29:31.975895+00,
27,PC - zápor,,2,27,2026-09-04 10:29:43.953388+00,
28,PC - zjišťovací otázky,,2,28,2026-09-04 10:29:58.678678+00,
29,PC - tázací otázky,,2,29,2026-09-04 10:30:12.356818+00,
30,PaS - be - Minulý čas prostý,,2,30,2026-09-04 10:30:35.678758+00,
31,PaS - be - zápor,,2,31,2026-09-04 10:30:58.364526+00,
32,PaS - be - zjišťovací otázky,,2,32,2026-09-04 10:31:16.374966+00,
33,PaS - be - tázací otázky,,3,33,2026-09-04 10:31:33.199162+00,
34,PaS - Minulý čas prostý,,3,34,2026-09-04 10:31:52.803865+00,
35,PaS - zápor,,3,35,2026-09-04 10:32:09.657894+00,
36,PaS - zjišťovací otázky,,3,36,2026-09-04 10:32:29.779922+00,
37,PaS - tázací otázky,,3,37,2026-09-04 10:32:41.455061+00,
38,FS Will - Budoucí čas prostý,,3,38,2026-09-04 10:32:59.648698+00,
39,FS Will - zápor,,3,39,2026-09-04 10:33:11.423589+00,
40,FS Will - zjišťovací otázky,,3,40,2026-09-04 10:33:36.291709+00,
41,FS Will - tázací otázky,,3,41,2026-09-04 10:33:49.253745+00,
42,FS going to - Budoucí čas prostý,,3,42,2026-09-04 10:34:13.776674+00,
43,FS going to - zápor,,3,43,2026-09-04 10:34:56.502564+00,
44,FS going to - zjišťovací otázky,,3,44,2026-09-04 10:35:16.069679+00,
45,FS going to - tázací otázky,,3,45,2026-09-04 10:35:33.269198+00,
46,Nultá podmínka,,3,46,2026-09-04 10:35:55.018273+00,
47,První podmínka,,3,47,2026-09-04 10:36:05.762476+00,
48,Druhá podmínka,,3,48,2026-09-04 10:36:17.60427+00,
49,PP - Předpřítomný čas prostý,,4,49,2026-09-04 10:36:33.316626+00,
50,PP - zápor,,4,50,2026-09-04 10:36:45.921693+00,
51,PP - zjišťovací otázky,,4,51,2026-09-04 10:37:00.007907+00,
52,PP - tázací otázky,,4,52,2026-09-04 10:37:22.131385+00,
53,PPC - Předpřítomný čas průběhový,,4,53,2026-09-04 10:37:40.927182+00,
54,PPC - zápor,,4,54,2026-09-04 10:37:55.160966+00,
55,PPC - zjišťovací otázky,,4,55,2026-09-04 10:38:10.355206+00,
56,PPC - tázací otázky,,4,56,2026-09-04 10:38:22.296998+00,
57,PaP - Předminulý čas prostý,,4,57,2026-09-04 10:38:44.774561+00,
58,PaP  - zápor,,4,58,2026-09-04 10:38:57.418886+00,
59,PaP - zjišťovací otázky,,4,59,2026-09-04 10:39:14.423363+00,
60,PaP - tázací otázky,,4,60,2026-09-04 10:39:27.872552+00,
61,FC - Budoucí čas průběhový,,4,61,2026-09-04 10:39:43.356065+00,
62,FC - zápor,,4,62,2026-09-04 10:40:00.51479+00,
63,FC - zjišťovací otázky,,4,63,2026-09-04 10:40:13.406886+00,
64,FC - tázací otázky,,4,64,2026-09-04 10:40:25.595715+00,
65,Třetí podmínka,,5,65,2026-09-04 10:40:40.019494+00,
66,Trpný rod - přítomnost,,5,66,2026-09-04 10:40:59.722302+00,
67,Trpný rod - minulost,,5,67,2026-09-04 10:41:15.251708+00,
68,Trpný rod - předpřítomný čas,,5,68,2026-09-04 10:41:31.382745+00,
69,Trpný rod - budoucnost,,5,69,2026-09-04 10:41:46.197135+00,
70,Trpný rod - přítomný průběhový čas,,5,70,2026-09-04 10:42:04.47288+00,
71,Vztažné věty,,5,71,2026-09-04 10:42:19.119477+00,
72,Tázací dovětky,,5,72,2026-09-04 10:42:30.546268+00,
73,Nepřímá řeč,,5,73,2026-09-04 10:42:44.473687+00,
74,Used to,,5,74,2026-09-04 10:43:03.002497+00,
